Reactivo,Unidad,Concentracion de reactivo,Concentracion de titulante,pH,pH_predicho,Error_abs,Error_pct
Urea,g/L,0.05,-0.0077,3.38,3.291216824727728,0.08878317527227209,2.626721161901541
Urea,g/L,0.05,-0.0076,3.38,3.2963227310189978,0.08367726898100214,2.4756588455917794
Urea,g/L,0.05,-0.0075,3.39,3.301656213440134,0.08834378655986619,2.606011402945905
Urea,g/L,0.05,-0.0073,3.4,3.3130369361061023,0.08696306389389763,2.5577371733499303
Urea,g/L,0.05,-0.0072,3.41,3.31909996395271,0.09090003604729002,2.6656902066653965
Urea,g/L,0.05,-0.0071,3.41,3.3254221431327373,0.08457785686726282,2.4802890576909915
Urea,g/L,0.05,-0.0069,3.42,3.3388767313894054,0.08112326861059449,2.372025397970599
Urea,g/L,0.05,-0.0068,3.42,3.3460258012989557,0.07397419870104427,2.1629882661124054
Urea,g/L,0.05,-0.0067,3.43,3.35346734420774,0.07653265579226032,2.2312727636227496
Urea,g/L,0.05,-0.0066,3.44,3.3612099634169437,0.07879003658305628,2.2904080402051243
Urea,g/L,0.05,-0.0064,3.45,3.377633389710796,0.07236661028920421,2.0975829069334555
Urea,g/L,0.05,-0.0063,3.45,3.3863319491672685,0.06366805083273164,1.84545074877483
Urea,g/L,0.05,-0.0062,3.46,3.3953670896678076,0.06463291033219232,1.8680031887916855
Urea,g/L,0.05,-0.006,3.46,3.4144838192375406,0.045516180762459335,1.3154965538283043
Urea,g/L,0.05,-0.0059,3.47,3.424584033909691,0.04541596609030929,1.3088174665795185
Urea,g/L,0.05,-0.0058,3.47,3.4350580808318205,0.03494191916817968,1.0069717339533049
Urea,g/L,0.05,-0.0056,3.48,3.4571661233247393,0.02283387667526071,0.656145881473009
Urea,g/L,0.05,-0.0055,3.49,3.4688196177296176,0.02118038227038266,0.6068877441370388
Urea,g/L,0.05,-0.0054,3.49,3.4808859420526534,0.009114057947346765,0.2611477921875864
Urea,g/L,0.05,-0.0052,3.5,3.5062972788141864,-0.006297278814186402,0.1799222518338972
Urea,g/L,0.05,-0.0051,3.51,3.5196626633179044,-0.009662663317904663,0.2752895532166571
Urea,g/L,0.05,-0.005,3.52,3.533481621870224,-0.013481621870223837,0.3830006213131772
Urea,g/L,0.05,-0.0048,3.53,3.5625222059439183,-0.032522205943918525,0.9213089502526495
Urea,g/L,0.05,-0.0047,3.53,3.577765076761648,-0.047765076761648206,1.3531183218597227
Urea,g/L,0.05,-0.0046,3.54,3.593504012220688,-0.05350401222068779,1.5114127745957002
Urea,g/L,0.05,-0.0044,3.54,3.626513768348215,-0.08651376834821489,2.4438917612490085
Urea,g/L,0.05,-0.0043,3.54,3.6438067075441896,-0.10380670754418952,2.93239286847993
Urea,g/L,0.05,-0.0042,3.55,3.6616399484364486,-0.11163994843644875,3.1447872798999654
Urea,g/L,0.05,-0.004,3.55,3.6989727730575996,-0.14897277305759982,4.1964161424676005
Urea,g/L,0.05,-0.0039,3.56,3.7184953485451127,-0.1584953485451126,4.452116532166085
Urea,g/L,0.05,-0.0038,3.57,3.7386042092461493,-0.1686042092461495,4.72280698168486
Urea,g/L,0.05,-0.0036,3.58,3.7806279704988386,-0.20062797049883851,5.6041332541575
Urea,g/L,0.05,-0.0035,3.59,3.8025667360402444,-0.21256673604024456,5.921078998335504
Urea,g/L,0.05,-0.0034,3.6,3.8251395167746782,-0.22513951677467814,6.253875465963281
Urea,g/L,0.05,-0.0032,3.61,3.872236054494941,-0.26223605449494114,7.264156634208896
Urea,g/L,0.05,-0.0031,3.63,3.896784549701655,-0.2667845497016552,7.349436630899593
Urea,g/L,0.05,-0.003,3.64,3.9220165365431665,-0.2820165365431664,7.747707047889187
Urea,g/L,0.05,-0.0028,3.65,3.9745816622651593,-0.3245816622651594,8.892648281237243
Urea,g/L,0.05,-0.0027,3.66,4.001940412597658,-0.3419404125976575,9.342634223979713
Urea,g/L,0.05,-0.0026,3.67,4.030033877468989,-0.36003387746898863,9.810187396975167
Urea,g/L,0.05,-0.0024,3.68,4.088477374424988,-0.4084773744249879,11.099928652852931
Urea,g/L,0.05,-0.0023,3.71,4.118853891192808,-0.4088538911928081,11.020320517326365
Urea,g/L,0.05,-0.0022,3.73,4.15001809186576,-0.42001809186575967,11.26053865591849
Urea,g/L,0.05,-0.002,3.75,4.214763714986167,-0.46476371498616675,12.39369906629778
Urea,g/L,0.05,-0.0019,3.76,4.248372495347906,-0.48837249534790583,12.98863019542303
Urea,g/L,0.05,-0.0018,3.78,4.282823675443342,-0.5028236754433419,13.302213636067247
Urea,g/L,0.05,-0.0016,3.79,4.354309151356677,-0.5643091513566771,14.889423518645833
Urea,g/L,0.05,-0.0015,3.8,4.3913716783199925,-0.5913716783199927,15.562412587368229
Urea,g/L,0.05,-0.0014,3.82,4.429333067307836,-0.6093330673078365,15.951127416435511
Urea,g/L,0.05,-0.0012,3.85,4.508010094340744,-0.6580100943407436,17.091171281577758
Urea,g/L,0.05,-0.0011,3.87,4.548754836762355,-0.678754836762355,17.538884670861886
Urea,g/L,0.05,-0.001,3.92,4.59045664996159,-0.67045664996159,17.10348596840791
Urea,g/L,0.05,-0.0008,3.95,4.676790898138833,-0.7267908981388329,18.39976957313501
Urea,g/L,0.05,-0.0007,3.98,4.721453310724521,-0.7414533107245211,18.62948016895782
Urea,g/L,0.05,-0.0005,4.02,4.813844475563419,-0.7938444755634197,19.747375014015418
Urea,g/L,0.05,-0.0004,4.11,4.861603860347658,-0.7516038603476574,18.2871985486048
Urea,g/L,0.05,-0.0003,4.3,4.910426383652263,-0.6104263836522632,14.195962410517748
Urea,g/L,0.05,-0.0001,4.7,5.0113233115774385,-0.3113233115774383,6.623900246328475
Urea,g/L,0.05,0.0,5.85,5.063429221960171,0.7865707780398283,13.445654325467151
Urea,g/L,0.05,0.0003,6.33,5.226568065593647,1.1034319344063528,17.431784113844436
Urea,g/L,0.05,0.0006,6.36,5.400278557384636,0.959721442615364,15.089959789549749
Urea,g/L,0.05,0.0009,6.44,5.585005181630304,0.854994818369696,13.276317055430061
Urea,g/L,0.05,0.0011,6.51,5.714499838774391,0.7955001612256085,12.219664534955585
Urea,g/L,0.05,0.0014,6.6,5.918598440516587,0.6814015594834126,10.32426605277898
Urea,g/L,0.05,0.0017,6.72,6.134941691113628,0.5850583088863717,8.706224834618627
Urea,g/L,0.05,0.002,7.08,6.364006493568477,0.7159935064315235,10.112902633213608
Urea,g/L,0.05,0.0023,7.64,6.606278592349309,1.0337214076506909,13.530384916893858
Urea,g/L,0.05,0.0026,8.07,6.862252573389524,1.2077474266104762,14.965891283896854
Urea,g/L,0.05,0.0029,8.3,7.132431864087735,1.1675681359122656,14.067085974846572
Urea,g/L,0.05,0.0031,8.45,7.320695838350893,1.129304161649106,13.364546291705398
Urea,g/L,0.05,0.0034,8.54,7.615693386554387,0.9243066134456122,10.823262452524734
Urea,g/L,0.05,0.0037,8.63,7.926281942419912,0.7037180575800885,8.154322799305776
Urea,g/L,0.05,0.004,8.71,8.25299735205188,0.45700264794812107,5.24687311077062
Urea,g/L,0.05,0.0043,8.78,8.59638430301992,0.18361569698007862,2.0912949542150185
Urea,g/L,0.05,0.0046,8.83,8.95699632435888,-0.12699632435887942,1.4382369689567318
Urea,g/L,0.05,0.0048,8.89,9.0,-0.10999999999999943,1.2373453318335144
Urea,g/L,0.05,0.0051,8.96,9.0,-0.03999999999999915,0.44642857142856185
Urea,g/L,0.05,0.0054,8.98,9.0,-0.019999999999999574,0.22271714922048524
Urea,g/L,0.05,0.0057,9.0,9.0,0.0,0.0
Urea,g/L,0.28,-0.024,3.0,3.0,0.0,0.0
Urea,g/L,0.28,-0.0239,3.01,3.0,0.009999999999999787,0.3322259136212554
Urea,g/L,0.28,-0.0238,3.01,3.0,0.009999999999999787,0.3322259136212554
Urea,g/L,0.28,-0.0237,3.01,3.0,0.009999999999999787,0.3322259136212554
Urea,g/L,0.28,-0.0235,3.01,3.0,0.009999999999999787,0.3322259136212554
Urea,g/L,0.28,-0.0234,3.01,3.0,0.009999999999999787,0.3322259136212554
Urea,g/L,0.28,-0.0233,3.01,3.0,0.009999999999999787,0.3322259136212554
Urea,g/L,0.28,-0.0232,3.02,3.0,0.020000000000000018,0.6622516556291397
Urea,g/L,0.28,-0.0231,3.02,3.0,0.020000000000000018,0.6622516556291397
Urea,g/L,0.28,-0.023,3.02,3.0,0.020000000000000018,0.6622516556291397
Urea,g/L,0.28,-0.0229,3.02,3.0,0.020000000000000018,0.6622516556291397
Urea,g/L,0.28,-0.0227,3.02,3.0,0.020000000000000018,0.6622516556291397
Urea,g/L,0.28,-0.0226,3.02,3.0,0.020000000000000018,0.6622516556291397
Urea,g/L,0.28,-0.0225,3.03,3.0,0.029999999999999805,0.9900990099009837
Urea,g/L,0.28,-0.0224,3.03,3.0,0.029999999999999805,0.9900990099009837
Urea,g/L,0.28,-0.0223,3.03,3.0,0.029999999999999805,0.9900990099009837
Urea,g/L,0.28,-0.0222,3.03,3.0,0.029999999999999805,0.9900990099009837
Urea,g/L,0.28,-0.022,3.03,3.0,0.029999999999999805,0.9900990099009837
Urea,g/L,0.28,-0.0219,3.03,3.0,0.029999999999999805,0.9900990099009837
Urea,g/L,0.28,-0.0218,3.04,3.0,0.040000000000000036,1.3157894736842117
Urea,g/L,0.28,-0.0217,3.04,3.0,0.040000000000000036,1.3157894736842117
Urea,g/L,0.28,-0.0216,3.04,3.0,0.040000000000000036,1.3157894736842117
Urea,g/L,0.28,-0.0215,3.04,3.0,0.040000000000000036,1.3157894736842117
Urea,g/L,0.28,-0.0213,3.04,3.0,0.040000000000000036,1.3157894736842117
Urea,g/L,0.28,-0.0212,3.04,3.001698217850251,0.03830178214974911,1.2599270443996418
Urea,g/L,0.28,-0.0211,3.04,3.0085893902202496,0.03141060977975041,1.0332437427549477
Urea,g/L,0.28,-0.021,3.05,3.0154764663604983,0.03452353363950156,1.1319191357213625
Urea,g/L,0.28,-0.0209,3.05,3.0223542222311828,0.027645777768817048,0.9064189432399034
Urea,g/L,0.28,-0.0208,3.05,3.0292175429463732,0.02078245705362658,0.6813920345451338
Urea,g/L,0.28,-0.0206,3.05,3.04288096513603,0.007119034863969809,0.23341097914655112
Urea,g/L,0.28,-0.0205,3.05,3.0496713826080883,0.00032861739191147876,0.01077434071840914
Urea,g/L,0.28,-0.0204,3.05,3.056427996919883,-0.00642799691988305,0.21075399737321476
Urea,g/L,0.28,-0.0203,3.06,3.063146238954909,-0.003146238954908842,0.10281826650028897
Urea,g/L,0.28,-0.0202,3.06,3.06982164875061,-0.009821648750609757,0.3209689134186195
Urea,g/L,0.28,-0.0201,3.06,3.0764498754983025,-0.016449875498302458,0.537577630663479
Urea,g/L,0.28,-0.0199,3.06,3.0895479223843605,-0.029547922384360437,0.9656183785738703
Urea,g/L,0.28,-0.0198,3.06,3.096009586674814,-0.03600958667481402,1.176783878261896
Urea,g/L,0.28,-0.0197,3.06,3.10240775622142,-0.04240775622142001,1.3858743863209153
Urea,g/L,0.28,-0.0196,3.07,3.1087386259849588,-0.03873862598495892,1.2618444946240692
Urea,g/L,0.28,-0.0195,3.07,3.1149985000801044,-0.04499850008010453,1.4657491882770206
Urea,g/L,0.28,-0.0194,3.07,3.1211837917753957,-0.05118379177539589,1.6672244877979119
Urea,g/L,0.28,-0.0192,3.07,3.133316826810119,-0.06331682681011896,2.062437355378468
Urea,g/L,0.28,-0.0191,3.07,3.139257942456112,-0.06925794245611216,2.2559590376583767
Urea,g/L,0.28,-0.019,3.08,3.1451112203153997,-0.06511122031539962,2.114000659590897
Urea,g/L,0.28,-0.0189,3.08,3.1508736194259885,-0.07087361942598847,2.3010915398048204
Urea,g/L,0.28,-0.0188,3.08,3.156542207979787,-0.07654220797978706,2.485136622720359
Urea,g/L,0.28,-0.0186,3.08,3.1675867719540873,-0.08758677195408726,2.84372636214569
Urea,g/L,0.28,-0.0185,3.09,3.1729574295278606,-0.08295742952786078,2.684706457212323
